phase	test	result	details	timestamp
structural	SOUL_ESSENCE defined	pass		2026-03-10T04:08:49.739Z
structural	CAPABILITY_MAP defined	pass		2026-03-10T04:08:49.739Z
structural	assembleContext exported	pass		2026-03-10T04:08:49.739Z
structural	getIdentityAnchor exported	pass		2026-03-10T04:08:49.739Z
structural	P2 pressure gate at 0.7	pass		2026-03-10T04:08:49.739Z
structural	P3 pressure gate at 0.9	pass		2026-03-10T04:08:49.739Z
structural	Agent message detection	pass		2026-03-10T04:08:49.739Z
structural	Provenance handling	pass		2026-03-10T04:08:49.739Z
structural	Memory status handling	pass		2026-03-10T04:08:49.739Z
structural	System-context wrapper	pass		2026-03-10T04:08:49.739Z
structural	truncateLines helper	pass		2026-03-10T04:08:49.739Z
structural	TIME_WORDS relevance gate	pass		2026-03-10T04:08:49.739Z
structural	OPS_WORDS relevance gate	pass		2026-03-10T04:08:49.739Z
structural	isTimeRelevant function	pass		2026-03-10T04:08:49.739Z
structural	isOpsRelevant function	pass		2026-03-10T04:08:49.739Z
structural	MAX_MEMORY_LINES cap	pass		2026-03-10T04:08:49.739Z
structural	MAX_SCHEDULE_LINES cap	pass		2026-03-10T04:08:49.739Z
structural	Soul essence: not a chatbot	pass		2026-03-10T04:08:49.739Z
structural	Soul essence: earn trust	pass		2026-03-10T04:08:49.739Z
structural	Soul essence: search before asking	pass		2026-03-10T04:08:49.739Z
structural	Capability map: lookup chain	pass		2026-03-10T04:08:49.739Z
structural	Capability map: vault search	pass		2026-03-10T04:08:49.739Z
structural	Identity cache TTL	pass		2026-03-10T04:08:49.739Z
structural	invalidateIdentityCache exported	pass		2026-03-10T04:08:49.739Z
structural	Soul essence line count reasonable (10-30)	pass		2026-03-10T04:08:49.739Z
structural	Capability map line count reasonable (10-25)	pass		2026-03-10T04:08:49.739Z
structural	TIME_WORDS has ≥15 entries	pass		2026-03-10T04:08:49.739Z
structural	OPS_WORDS has ≥15 entries	pass		2026-03-10T04:08:49.739Z
structural	No duplicate TIME_WORDS	pass		2026-03-10T04:08:49.739Z
structural	No duplicate OPS_WORDS	pass		2026-03-10T04:08:49.739Z
structural	Skill cards loaded (8 cards)	pass		2026-03-10T04:08:49.740Z
structural	Calendar skill exists	pass		2026-03-10T04:08:49.740Z
structural	Tasks skill exists	pass		2026-03-10T04:08:49.740Z
