iteration	vault_health	capture	integration	noise	llm_quality	combined	action
1	0.6056	0.4444	0.9185	0.5613	0.0000	0.5541	audit-only
1	0.6056	0.4444	0.9185	0.5613	0.4600	0.6231	audit-only
1	0.6056	0.4444	0.9185	0.5613	0.4600	0.6231	fix: inbox=23 daily=1 logs=0
2	0.6311	0.4444	0.9185	0.6591	0.4600	0.6442	fix: inbox=0 daily=0 logs=0
3	0.6311	0.4444	0.9185	0.6591	0.4600	0.6442	fix: inbox=0 daily=0 logs=0
1	0.6311	0.4444	0.9185	0.6591	0.4600	0.6442	fix: inbox=0 daily=0 logs=0 dedup=18 triage=34 links=64
2	0.6689	0.4222	0.9185	0.8571	0.5400	0.6909	fix: inbox=0 daily=0 logs=0 dedup=0 triage=0 links=64
1	0.6689	0.4222	0.9185	0.8571	0.5400	0.6909	fix: inbox=0 daily=0 logs=0 dedup=26 triage=90 links=64
2	0.7689	0.1365	0.9185	0.8750	0.5400	0.6614	fix: inbox=0 daily=0 logs=0 dedup=26 triage=0 links=64
1	0.7689	0.4444	0.9185	0.8750	0.5200	0.7200	audit-only
1	0.7689	0.4444	0.9185	0.8750	0.5200	0.7200	audit-only
1	0.7689	0.4444	0.9185	0.8750	0.5200	0.7200	audit-only
2	0.7689	0.4444	0.9185	0.8750	0.5400	0.7230	audit-only
3	0.7689	0.4444	0.9185	0.8750	0.5200	0.7200	audit-only
4	0.7689	0.4444	0.9185	0.8750	0.5200	0.7200	audit-only
5	0.7689	0.4444	0.9185	0.8750	0.5200	0.7200	audit-only
6	0.7689	0.4444	0.9185	0.8750	0.5200	0.7200	audit-only
7	0.7689	0.4444	0.9185	0.8750	0.5200	0.7200	audit-only
8	0.7689	0.4444	0.9185	0.8750	0.5400	0.7230	audit-only
9	0.7689	0.4444	0.9185	0.8750	0.5400	0.7230	audit-only
10	0.7689	0.4444	0.9185	0.8750	0.5200	0.7200	audit-only
1	0.3905	0.8152	0.7400	0.7476	0.4508	0.7717	0.2500	0.0000	0.4926	10	audit-only
1	0.3905	0.6486	0.7400	0.7476	0.4508	0.7717	0.2500	0.0000	0.4760	10	audit-only
1	0.3905	0.6486	0.6400	0.7476	0.4508	0.5217	0.2500	0.0000	0.4360	12	fix:97
1	0.3905	0.8986	0.6400	0.7188	0.4487	0.5217	0.2500	0.0000	0.4579	11	fix:0
1	0.5333	0.8986	0.6400	0.6438	0.9857	0.5417	0.7500	0.0000	0.5846	7	audit-only
1	0.5333	0.6486	0.6400	0.6726	0.9859	0.5417	0.7500	0.3400	0.6135	8	audit-only
1	0.5333	0.6486	0.6400	0.6726	0.9859	0.5417	0.7500	0.3400	0.6135	8	fix:97
2	0.5333	0.8986	0.6400	0.6438	0.9857	0.5417	0.7500	0.4200	0.6476	7	fix:0
3	0.5333	0.8986	0.6400	0.6438	0.9857	0.5417	0.7500	0.4000	0.6446	7	fix:0
