timestamp	loop	archetype	surface	action	weighted	bugs	error
2026-03-25T04:26:29.465Z	1	raj	settings	navigate-to-settings		0	
2026-03-25T04:26:29.467Z	1	marcus	onboarding	navigate-to-root		0	
2026-03-25T04:26:29.468Z	1	sarah	onboarding	navigate-to-root		0	
2026-03-25T04:26:29.469Z	1	marcus	onboarding	navigate-to-root		0	-32000 Cannot navigate to invalid URL
2026-03-25T04:26:29.469Z	1	marcus	onboarding	follow-setup-steps		0	
2026-03-25T04:26:29.469Z	1	sarah	onboarding	navigate-to-root		0	-32000 Cannot navigate to invalid URL
2026-03-25T04:26:29.469Z	1	sarah	onboarding	follow-setup-steps		0	
2026-03-25T04:26:29.471Z	1	dr-mike	second-brain	navigate-to-second-brain		0	
2026-03-25T04:26:29.474Z	1	diana	workspaces	navigate-to-workspaces		0	
2026-03-25T04:26:29.475Z	1	frankie	onboarding	navigate-to-root		0	
2026-03-25T04:26:29.477Z	1	frankie	onboarding	navigate-to-root		0	-32000 Cannot navigate to invalid URL
2026-03-25T04:26:29.477Z	1	frankie	onboarding	follow-setup-steps		0	
2026-03-25T04:26:52.779Z	1	sarah	onboarding	follow-setup-steps		0	
2026-03-25T04:26:52.780Z	1	sarah	onboarding	fill-onboarding-fields		0	
2026-03-25T04:26:56.280Z	1	marcus	onboarding	follow-setup-steps		0	
2026-03-25T04:26:56.280Z	1	marcus	onboarding	fill-onboarding-fields		0	
2026-03-25T04:26:56.396Z	1	frankie	onboarding	follow-setup-steps		0	
2026-03-25T04:26:56.396Z	1	frankie	onboarding	fill-onboarding-fields		0	
2026-03-25T04:27:10.176Z	1	dr-mike	second-brain	navigate-to-second-brain		0	
2026-03-25T04:27:10.177Z	1	dr-mike	second-brain	search-term		0	
2026-03-25T04:27:10.736Z	1	raj	settings	navigate-to-settings		0	
2026-03-25T04:27:10.736Z	1	raj	settings	toggle-config		0	
2026-03-25T04:27:10.812Z	1	diana	workspaces	navigate-to-workspaces		0	
2026-03-25T04:27:10.813Z	1	diana	workspaces	create-workspace		0	
2026-03-25T04:27:22.903Z	1	marcus	onboarding	fill-onboarding-fields		0	
2026-03-25T04:27:22.903Z	1	marcus	onboarding	advance-steps		0	
2026-03-25T04:27:23.125Z	1	frankie	onboarding	fill-onboarding-fields		0	
2026-03-25T04:27:23.125Z	1	frankie	onboarding	advance-steps		0	
